date,game,player,team,prop_type,model_probability,fair_odds,market_odds,market_implied_probability,edge_percent,tier,confidence,result,win_loss_push,profit_loss_units,closing_odds,closing_line_value,notes,evaluation_mode
2026-04-18,NYM@CHC,Marcus Semien,NYM,HR,1.05,+9436,800,11.11,-10.06,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Marcus Semien,NYM,2+ TB,12.87,+677,175,36.36,-23.49,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Nico Hoerner,CHC,HR,1.59,+6196,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Nico Hoerner,CHC,2+ TB,23.21,+331,170,37.04,-13.83,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Michael Busch,CHC,HR,0.40,+24900,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Michael Busch,CHC,2+ TB,6.00,+1567,128,43.86,-37.86,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Alex Bregman,CHC,HR,0.40,+24900,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Alex Bregman,CHC,2+ TB,10.58,+845,130,43.48,-32.90,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Ian Happ,CHC,HR,7.65,+1207,,,,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,,,,"1 H, 4 TB, 1 HR, 2 R, 1 RBI",target_accuracy
2026-04-18,NYM@CHC,Ian Happ,CHC,2+ TB,29.34,+241,148,40.32,-10.98,B,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.480,,,"1 H, 4 TB, 1 HR, 2 R, 1 RBI",betting_roi
2026-04-18,NYM@CHC,Seiya Suzuki,CHC,HR,0.40,+24900,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 1 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Seiya Suzuki,CHC,2+ TB,6.92,+1345,140,41.67,-34.75,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Moisés Ballesteros,CHC,HR,12.50,+700,,,,A,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Moisés Ballesteros,CHC,2+ TB,45.92,+118,,,,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI",target_accuracy
2026-04-18,NYM@CHC,Miguel Amaya,CHC,HR,0.40,+24900,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Miguel Amaya,CHC,2+ TB,8.56,+1068,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Pete Crow-Armstrong,CHC,HR,0.40,+24900,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,NYM@CHC,Pete Crow-Armstrong,CHC,2+ TB,11.69,+756,160,38.46,-26.77,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Dansby Swanson,CHC,HR,5.59,+1688,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
